seed,subject,cor,sex
1,subj1,0.999593109534199,male
1,subj2,0.9990255881371151,male
1,subj3,0.9974769446501259,male
2,subj1,0.9978601630470995,male
2,subj2,0.9936773269729832,male
2,subj3,0.9938047449768113,male
3,subj1,0.9996187257973992,male
3,subj2,0.9984099240816517,male
3,subj3,0.9984854507191827,male
4,subj1,0.9978521602706396,male
4,subj2,0.9999045914525064,male
4,subj3,0.9997798901019421,male
5,subj1,0.9854543156609503,male
5,subj2,0.991807401670525,male
5,subj3,0.9990550427507539,male
6,subj1,0.9994640147991678,male
6,subj2,0.9981623777934733,male
6,subj3,0.9972749928692037,male
7,subj1,0.9963208143101954,male
7,subj2,0.9932560518097026,male
7,subj3,0.9979423635198217,male
8,subj1,0.9969590849815705,male
8,subj2,0.9981158691928342,male
8,subj3,0.9921513037018989,male
9,subj1,0.9995677216233243,male
9,subj2,0.9994180469822624,male
9,subj3,0.9983571788330206,male
10,subj1,0.9967036260010009,male
10,subj2,0.9997306278900029,male
10,subj3,0.9934588570029677,male
1,subj1,0.9933789037633883,female
1,subj2,0.99412654907471,female
2,subj1,0.9142389065789704,female
2,subj2,0.9024290233484987,female
3,subj1,0.9940236105965718,female
3,subj2,0.9955556190675717,female
4,subj1,0.9922879483907567,female
4,subj2,0.9958699075354804,female
5,subj1,0.9163411223696001,female
5,subj2,0.8669094107238778,female
6,subj1,0.9960074632023548,female
6,subj2,0.9890049654155771,female
7,subj1,0.9979237059591439,female
7,subj2,0.9999919665073869,female
8,subj1,0.8949805654253862,female
8,subj2,0.9116272552301048,female
9,subj1,0.9999975385047867,female
9,subj2,0.9993104526072479,female
10,subj1,0.997913294395575,female
10,subj2,0.9972351392640862,female
